product_id,product_name,sku,category,subcategory,unit_price,cost_price,margin_pct,brand,is_active,launch_date,weight_lbs,is_featured
1,Wireless Earbuds Pro,ELEC-WEP-001,Electronics,Audio,89.99,29.00,67.8,SoundWave,true,2024-03-01,0.4,true
2,Smart Home Hub X2,ELEC-SHH-002,Electronics,Smart Home,149.99,52.00,65.3,Nexus,true,2024-06-15,0.8,true
3,Portable Bluetooth Speaker,ELEC-PBS-003,Electronics,Audio,59.99,18.50,69.2,SoundWave,true,2024-01-10,1.2,false
4,USB-C Charging Hub 7-Port,ELEC-UCH-004,Electronics,Accessories,39.99,11.00,72.5,TechPro,true,2023-11-01,0.5,false
5,4K Webcam Ultra HD,ELEC-WCM-005,Electronics,Peripherals,119.99,42.00,65.0,VisionClear,true,2024-09-01,0.6,true
6,Mechanical Gaming Keyboard,ELEC-MKB-006,Electronics,Peripherals,149.99,55.00,63.3,TechPro,true,2024-07-01,2.1,true
7,Wireless Charging Pad Duo,ELEC-WCP-007,Electronics,Accessories,49.99,15.00,70.0,Nexus,true,2024-02-14,0.3,false
8,Smart Watch Series 3,ELEC-SWT-008,Electronics,Wearables,299.99,105.00,65.0,VisionClear,true,2024-08-01,0.3,true
9,Noise-Cancelling Headphones,ELEC-NCH-009,Electronics,Audio,199.99,72.00,64.0,SoundWave,true,2024-05-01,0.9,true
10,Portable SSD 1TB,ELEC-SSD-010,Electronics,Storage,119.99,48.00,60.0,TechPro,true,2024-04-01,0.3,false
11,Coffee Maker Pro 12-Cup,HOME-CMK-011,Home & Kitchen,Appliances,129.99,45.00,65.4,BrewMaster,true,2023-09-15,5.5,true
12,Air Purifier HEPA True,HOME-APR-012,Home & Kitchen,Air Quality,199.99,72.00,64.0,CleanAir,true,2024-01-20,8.2,true
13,Robot Vacuum Gen 3,HOME-RBV-013,Home & Kitchen,Cleaning,349.99,130.00,62.9,CleanBot,true,2024-03-10,5.8,true
14,Smart Blender 1200W,HOME-BLD-014,Home & Kitchen,Appliances,89.99,32.00,64.4,BrewMaster,true,2023-12-01,6.3,false
15,LED Desk Lamp Touch,HOME-LMP-015,Home & Kitchen,Lighting,49.99,16.00,68.0,BrightHome,true,2023-10-01,1.8,false
16,Instant Pot 8-Quart,HOME-IPT-016,Home & Kitchen,Appliances,119.99,43.00,64.2,CookPro,true,2023-08-01,11.8,true
17,Cordless Stick Vacuum,HOME-STV-017,Home & Kitchen,Cleaning,159.99,58.00,63.7,CleanBot,true,2024-02-01,4.8,true
18,French Press 34oz,HOME-FPR-018,Home & Kitchen,Appliances,34.99,9.50,72.8,BrewMaster,true,2023-07-01,1.6,false
19,Bamboo Cutting Board Set,HOME-CUT-019,Home & Kitchen,Kitchen Tools,44.99,13.00,71.1,CookPro,true,2023-11-15,3.2,false
20,Ceramic Non-Stick Pan Set,HOME-PAN-020,Home & Kitchen,Cookware,89.99,30.00,66.7,CookPro,true,2024-01-05,4.5,true
21,Waterproof Rain Jacket,CLTH-RJK-021,Clothing & Apparel,Outerwear,89.99,28.00,68.9,TrailBlazer,true,2024-09-01,1.1,true
22,Performance Running Shorts,CLTH-RSH-022,Clothing & Apparel,Activewear,35.99,10.50,70.8,SwiftGear,true,2025-02-01,0.4,false
23,Merino Wool Crew Neck,CLTH-MCN-023,Clothing & Apparel,Sweaters,79.99,26.00,67.5,ComfortFit,true,2024-08-01,0.9,true
24,Yoga Leggings High Waist,CLTH-YLG-024,Clothing & Apparel,Activewear,55.99,18.00,67.8,SwiftGear,true,2025-01-15,0.5,true
25,Oxford Button-Down Shirt,CLTH-OBS-025,Clothing & Apparel,Shirts,49.99,15.50,69.0,ClassicWear,true,2024-06-01,0.6,false
26,Denim Slim Jeans,CLTH-DSJ-026,Clothing & Apparel,Pants,69.99,22.00,68.6,ClassicWear,true,2024-07-01,1.2,true
27,Puffer Vest Lightweight,CLTH-PVT-027,Clothing & Apparel,Outerwear,64.99,21.00,67.7,TrailBlazer,true,2024-10-01,0.7,true
28,Athletic Tank Top,CLTH-ATT-028,Clothing & Apparel,Activewear,24.99,7.00,72.0,SwiftGear,true,2025-03-01,0.3,false
29,Compression Socks 3-Pack,CLTH-CSS-029,Clothing & Apparel,Accessories,22.99,6.50,71.7,SwiftGear,true,2024-04-01,0.4,false
30,Fleece Pullover Hoodie,CLTH-FPH-030,Clothing & Apparel,Sweaters,59.99,19.00,68.3,ComfortFit,true,2024-09-15,0.8,true
31,Resistance Band Set Pro,SPRT-RBS-031,Sports & Outdoors,Fitness,29.99,8.00,73.3,FitForce,true,2024-01-15,1.5,false
32,Camping Headlamp 500LM,SPRT-CHL-032,Sports & Outdoors,Camping,24.99,7.50,70.0,OutdoorPro,true,2023-06-01,0.3,false
